LAB,"RAPAMYCIN, nM",normalized OD600
p,DMSO,0.063636364
p,DMSO,0.065656566
p,DMSO,0.077192982
p,DMSO,0.081578947
p,DMSO,0.072916667
p,DMSO,0.079166667
l,DMSO,0.077777778
l,DMSO,0.077777778
l,DMSO,0.089473684
l,DMSO,0.086842105
l,DMSO,0.090625
l,DMSO,0.0875
p,20,0.134188034
p,20,0.131623932
p,20,0.158035714
p,20,0.147321429
p,20,0.1552
p,20,0.1552
l,20,0.145299145
l,20,0.122222222
l,20,0.128571429
l,20,0.132142857
l,20,0.1264
l,20,0.1344
p,50,0.162264151
p,50,0.163207547
p,50,0.158196721
p,50,0.151639344
p,50,0.177142857
p,50,0.188571429
l,50,0.162264151
l,50,0.153773585
l,50,0.152459016
l,50,0.148360656
l,50,0.177142857
l,50,0.161904762
p,100,0.552083333
p,100,0.541666667
p,100,0.531914894
p,100,0.515957447
p,100,0.475961538
p,100,0.490384615
l,100,0.348958333
l,100,0.317708333
l,100,0.292553191
l,100,0.290425532
l,100,0.3125
l,100,0.280769231
p,200,0.570754717
p,200,0.54245283
p,200,0.532967033
p,200,0.549450549
p,200,0.569148936
p,200,0.521276596
l,200,0.561320755
l,200,0.358490566
l,200,0.357142857
l,200,0.335164835
l,200,0.292553191
l,200,0.287234043